CensusTract,County,LILATracts_1And10
20205097300,Wilson,0
20205097400,Wilson,1
20207096600,Woodson,0
20207096700,Woodson,0
20209040001,Wyandotte,0
20209040002,Wyandotte,0
20209040200,Wyandotte,1
20209040300,Wyandotte,1
20209040400,Wyandotte,1
20209040500,Wyandotte,0
20209040600,Wyandotte,1
20209040700,Wyandotte,1
20209040800,Wyandotte,0
20209040900,Wyandotte,1
20209041000,Wyandotte,0
20209041100,Wyandotte,0
20209041200,Wyandotte,0
20209041300,Wyandotte,0
20209041500,Wyandotte,0
20209041600,Wyandotte,0
20209041700,Wyandotte,0
20209041800,Wyandotte,0
20209041900,Wyandotte,0
20209042001,Wyandotte,0
20209042002,Wyandotte,0
20209042100,Wyandotte,0
20209042200,Wyandotte,0
20209042300,Wyandotte,0
20209042400,Wyandotte,0
20209042501,Wyandotte,0
20209042502,Wyandotte,0
20209042600,Wyandotte,0
20209042700,Wyandotte,1
20209042800,Wyandotte,1
20209043000,Wyandotte,1
20209043301,Wyandotte,0
20209043400,Wyandotte,1
20209043500,Wyandotte,0
20209043600,Wyandotte,1
20209043700,Wyandotte,0
20209043802,Wyandotte,0
20209043803,Wyandotte,1
20209043804,Wyandotte,0
20209043903,Wyandotte,0
20209043904,Wyandotte,1
20209043905,Wyandotte,1
20209044001,Wyandotte,0
20209044003,Wyandotte,0
20209044004,Wyandotte,0
20209044101,Wyandotte,0
20209044102,Wyandotte,0
20209044103,Wyandotte,0
20209044104,Wyandotte,0
20209044201,Wyandotte,0
20209044202,Wyandotte,0
20209044301,Wyandotte,0
20209044302,Wyandotte,1
20209044303,Wyandotte,1
20209044400,Wyandotte,0
20209044500,Wyandotte,0
20209044601,Wyandotte,0
20209044602,Wyandotte,0
20209044603,Wyandotte,0
20209044702,Wyandotte,0
20209044703,Wyandotte,0
20209044704,Wyandotte,0
20209044803,Wyandotte,0
20209044804,Wyandotte,0
20209044805,Wyandotte,0
20209044806,Wyandotte,0
20209044900,Wyandotte,0
20209045000,Wyandotte,1
20209045100,Wyandotte,0
20209045200,Wyandotte,1
