County,CTY_SUB,AV0AA1970,AV0AA1980,AV0AA1990,AV0AA2000,AV0AA2010,AV0AA2020
Decatur County,Allison township,99,67,47,39,23,49
Decatur County,Altory township,44,36,34,16,18,16
Decatur County,Bassettville township,67,53,52,26,35,18
Decatur County,Beaver township,97,105,85,86,82,69
Decatur County,Center township,83,67,61,60,58,52
Decatur County,Cook township,62,55,51,44,24,19
Decatur County,Custer township,69,48,41,27,25,48
Decatur County,Dresden township,279,200,188,141,112,91
Decatur County,Finley township,111,91,58,39,49,43
Decatur County,Garfield township,83,46,42,41,42,42
Decatur County,Grant township,76,45,28,31,11,17
Decatur County,Harlan township,90,75,52,51,21,31
Decatur County,Jennings township,297,248,227,173,133,109
Decatur County,Liberty township,87,75,59,48,51,41
Decatur County,Lincoln township,360,268,234,203,172,168
Decatur County,Logan township,81,65,59,52,33,39
Decatur County,Lyon township,53,34,37,24,13,19
Decatur County,Oberlin city,,,2197,1994,1788,1644
Decatur County,Oberlin township,2392,2471,129,91,81,81
Decatur County,Olive township,95,109,80,68,33,53
Decatur County,Pleasant Valley township,110,82,73,46,38,27
Decatur County,Prairie Dog township,90,72,48,50,38,27
Decatur County,Roosevelt township,71,42,28,32,18,7
Decatur County,Sappa township,68,55,47,43,36,17
Decatur County,Sherman township,75,58,35,25,14,17
Decatur County,Summit township,49,42,29,22,13,20
Dickinson County,Abilene city,6661,6572,6242,6543,6844,6460
Dickinson County,Banner township,177,159,145,148,108,75
Dickinson County,Buckeye township,407,411,403,437,420,449
Dickinson County,Center township,1305,1298,1286,1210,1218,1059
Dickinson County,Cheever township,198,149,140,149,130,165
Dickinson County,Flora township,243,243,203,217,217,168
Dickinson County,Fragrant Hill township,221,239,222,251,289,242
Dickinson County,Garfield township,194,183,170,189,199,187
Dickinson County,Grant township,1049,1037,888,918,977,916
Dickinson County,Hayes township,220,233,206,233,240,258
Dickinson County,Herington city,3165,2930,2685,2563,2526,2109
Dickinson County,Holland township,126,144,121,107,118,103
Dickinson County,Hope township,654,659,580,519,497,438
Dickinson County,Jefferson township,267,224,196,166,175,216
Dickinson County,Liberty township,388,424,384,405,342,308
Dickinson County,Lincoln township,1394,1618,1472,1669,1643,1535
Dickinson County,Logan township,276,246,205,202,216,170
Dickinson County,Lyon township,238,269,256,252,243,221
Dickinson County,Newbern township,262,320,346,349,326,362
Dickinson County,Noble township,1419,1719,1773,1730,1917,1863
Dickinson County,Ridge township,207,177,162,160,136,132
Dickinson County,Rinehart township,224,208,195,194,212,232
Dickinson County,Sherman township,190,140,148,147,162,164
Dickinson County,Union township,174,212,189,176,170,158
Dickinson County,Wheatland township,165,161,141,152,162,129
Dickinson County,Willowdale township,169,200,200,258,267,283
Doniphan County,Burr Oak township,266,232,236,153,159,188
Doniphan County,Center township,1904,1944,1719,1743,1703,1663
Doniphan County,Independence township,351,347,334,342,289,257
Doniphan County,Iowa township,1823,1843,1748,1694,1641,1433
Doniphan County,Marion township,300,264,226,226,211,215
Doniphan County,Union township,443,390,378,360,297,276
Doniphan County,Washington township,3104,3459,2825,3066,3079,2927
Doniphan County,Wayne township,323,265,241,226,196,201
Doniphan County,Wolf River township,593,524,427,439,370,350
Douglas County,Clinton township,439,275,354,531,586,626
Douglas County,Eudora township,2868,3821,4011,5571,7441,7734
Douglas County,Grant township,490,430,440,442,371,382
Douglas County,Kanwaka township,646,704,1017,1317,1412,1401
Douglas County,Lawrence city,45698,52738,65608,80098,87643,94934
Douglas County,Lecompton township,1032,1250,1501,1761,1707,1669
Douglas County,Marion township,557,600,662,836,812,845
Douglas County,Palmyra township,3798,4471,4736,5760,7073,7575
Douglas County,Wakarusa township,1665,2246,2158,2237,2318,2102
Douglas County,Willow Springs township,739,1105,1311,1409,1463,1517
Edwards County,Belpre township,326,277,221,186,178,182
Edwards County,Franklin township,167,137,109,93,80,92
Edwards County,Jackson township,176,118,111,98,57,51
Edwards County,Kinsley city,2212,2074,1875,1658,1457,1456
Edwards County,Kinsley township,228,201,191,160,139,112
Edwards County,Lincoln township,175,174,164,143,119,112
Edwards County,Logan township,101,62,55,42,33,27
Edwards County,North Brown township,98,97,104,67,64,53
Edwards County,South Brown township,121,110,100,90,78,90
Edwards County,Trenton township,333,333,297,306,274,239
Edwards County,Wayne township,644,688,560,606,558,493
Elk County,Elk Falls township,223,261,206,196,187,197
Elk County,Greenfield township,415,423,340,321,302,252
Elk County,Howard township,1166,1163,1012,1006,873,713
Elk County,Liberty township,157,132,132,117,113,106
Elk County,Longton township,439,506,481,530,439,351
Elk County,Oak Valley township,122,136,132,154,143,92
Elk County,Painterhood township,76,94,80,68,59,73
Elk County,Paw Paw township,232,191,149,116,124,107
Elk County,Union Center township,218,199,114,116,103,115
Elk County,Wildcat township,810,813,681,637,539,477
Ellis County,Big Creek township,2524,3336,2494,1798,1883,2077
Ellis County,Buckeye township,189,315,280,285,414,391
Ellis County,Catherine township,306,292,289,318,312,281
Ellis County,East Hamilton Township,72,,,,,
Ellis County,Ellis city,2137,2062,1814,1873,2062,1958
Ellis County,Ellis township,352,482,384,386,418,452
Ellis County,Freedom township,213,208,123,125,118,106
Ellis County,Hays city,15396,16301,17767,20013,20510,21116
Ellis County,Herzog township,743,972,901,894,894,839
Ellis County,Lookout township,489,591,534,569,579,523
Ellis County,Pleasant Hill Township,187,,,,,
Ellis County,Riverview Township,128,,,,,
Ellis County,Saline Township,100,,,,,
Ellis County,Smoky Hill Township,144,,,,,
Ellis County,Victoria township,902,1060,976,845,876,804
Ellis County,Walker Township,276,,,,,
Ellis County,West Hamilton Township,103,,,,,
Ellis County,Wheatland township,469,479,442,401,386,387
Ellsworth County,Ash Creek township,61,76,66,58,55,47
Ellsworth County,Black Wolf township,66,99,99,87,79,85
Ellsworth County,Carneiro township,78,65,53,57,61,54
Ellsworth County,Clear Creek township,85,110,104,91,82,101
Ellsworth County,Columbia township,130,92,74,60,49,51
Ellsworth County,Ellsworth city,2080,2465,2294,2965,3120,3066
Ellsworth County,Ellsworth township,899,979,1425,797,729,648
Ellsworth County,Empire township,95,78,78,174,196,142
Ellsworth County,Garfield township,25,44,44,27,40,62
Ellsworth County,Green Garden township,254,250,235,211,213,205
Ellsworth County,Langley township,85,81,80,76,74,60
Ellsworth County,Lincoln township,49,38,43,62,44,59
Ellsworth County,Mulberry township,21,36,35,44,27,39
Ellsworth County,Noble township,150,103,93,90,87,104
Ellsworth County,Palacky township,73,66,67,63,60,57
Ellsworth County,Sherman township,73,103,94,65,60,80
Ellsworth County,Thomas township,86,78,67,72,53,64
Ellsworth County,Trivoli township,57,80,53,55,54,39
Ellsworth County,Valley township,739,700,611,577,538,481
Ellsworth County,Wilson township,1040,1097,971,894,876,932
Finney County,Garden City city,14708,18256,24097,28451,26658,28151
Finney County,Garden City township,1940,2724,5368,7400,5761,5773
Finney County,Garfield township,479,342,326,331,288,345
Finney County,Ivanhoe township,220,298,370,666,464,489
Finney County,Pierceville township,334,422,495,551,491,459
Finney County,Pleasant Valley township,112,118,124,139,166,144
Finney County,Sherlock township,870,1436,2060,2758,2789,2958
Finney County,Terry township,284,229,230,227,159,151
Ford County,Bloom township,149,132,134,113,116,110
Ford County,Bucklin township,837,943,848,900,885,821
Ford County,Concord township,124,99,115,117,104,122
Ford County,Dodge City city,14127,18001,21129,25176,27340,27788
Ford County,Dodge township,2348,884,674,899,693,683
Ford County,Enterprise township,545,633,736,1113,882,998
Ford County,Fairview township,189,320,309,346,290,277
Ford County,Ford township,393,424,403,456,364,329
Ford County,Grandview township,862,783,759,784,624,569
Ford County,Pleasant Valley Township,83,,,,,
Ford County,Richland township,863,319,673,931,888,893
Ford County,Royal township,97,107,106,105,207,228
Ford County,Sodville township,135,129,124,110,109,89
Ford County,Spearville township,1340,1172,1151,1150,1104,1163
Ford County,Wheatland township,342,235,210,170,151,139
Ford County,Wilburn township,153,134,92,88,91,78
Franklin County,Appanoose township,245,257,263,293,306,344
Franklin County,Centropolis township,616,758,822,997,1011,1006
Franklin County,Cutler township,537,714,669,856,798,748
Franklin County,Franklin township,1663,2219,2178,2552,3065,3080
Franklin County,Greenwood township,260,347,366,429,459,403
Franklin County,Harrison township,484,420,402,445,438,460
Franklin County,Hayes township,258,314,362,397,393,431
Franklin County,Homewood township,329,411,412,493,532,550
Franklin County,Lincoln township,469,475,902,797,857,833
Franklin County,Ohio township,499,621,650,783,770,768
Franklin County,Ottawa city,11036,11016,10667,11921,12649,12625
Franklin County,Ottawa township,665,923,792,868,813,842
Franklin County,Peoria township,374,514,526,626,672,646
Franklin County,Pomona township,718,1080,1051,1174,1078,1128
Franklin County,Pottawatomie township,534,561,582,669,605,607
Franklin County,Richmond township,722,780,833,812,842,829
Franklin County,Williamsburg township,598,652,517,672,704,696
Geary County,Blakely township,100,94,107,113,101,113
Geary County,Jackson township,84,100,84,78,59,96
Geary County,Jefferson township,1113,1740,1749,1651,2041,2159
Geary County,Junction City city,19018,19305,20604,18886,23353,22932
Geary County,Liberty township,252,286,246,225,167,185
Geary County,Lyon township,193,272,301,298,305,250
Geary County,Milford township,1346,1285,1445,1583,1669,1698
Geary County,Smoky Hill township,5861,6625,5758,4974,6531,9143
Geary County,Wingfield township,144,145,159,139,136,163
Gove County,Baker township,1360,1400,1344,1357,1291,1276
Gove County,Gaeland township,89,80,55,46,52,52
Gove County,Gove township,365,293,230,215,173,181
Gove County,Grainfield township,615,585,467,430,369,406
Gove County,Grinnell township,723,678,557,480,399,406
Gove County,Jerome township,168,154,149,132,97,99
Gove County,Larrabee township,111,102,93,80,61,58
Gove County,Lewis township,26,26,20,13,7,12
Gove County,Payne township,483,408,316,315,246,228
Graham County,Allodium township,101,102,64,46,51,36
Graham County,Bryant township,293,231,162,115,74,80
Graham County,Gettysburg township,157,110,103,83,74,71
Graham County,Graham township,101,76,60,53,54,51
Graham County,Happy township,157,108,86,72,54,59
Graham County,Hill City township,2394,2205,2025,1747,1591,1518
Graham County,Indiana township,89,65,42,42,31,26
Graham County,Millbrook township,291,215,179,150,108,90
