,,,,County,,,CTY_SUB,CTY_SUBA,NAME1970,NAME1980,NAME1990,NAME2000,NAME2010,NAME2020,AV0AA1970,AV0AA1980,AV0AA1990,AV0AA2000,AV0AA2010,AV0AA2020,D15AA1970,D15AA1980,D15AA1990,D15AA2000,D15AA2010,D15AA2020,D15AB1970,D15AB1980,D15AB1990,D15AB2000,D15AB2010,D15AB2020
,Kansas,20,200,Barber County,7,70,Nippawalla township,50775,Nippawalla Township,NIPPAWALLA TOWNSHIP,Nippawalla township,Nippawalla township,Nippawalla township,Nippawalla township,74,51,44,26,35,31,0,0,0,0,0,0,74,51,44,26,35,31
,Kansas,20,200,Barber County,7,70,Ridge township,59775,Ridge Township,RIDGE TOWNSHIP,Ridge township,Ridge township,,,61,41,26,4,,,0,0,0,0,,,61,41,26,4,,
,Kansas,20,200,Barber County,7,70,Sharon township,64350,Sharon Township,SHARON TOWNSHIP,Sharon township,Sharon township,Sharon township,Sharon township,535,486,440,369,356,299,0,0,0,0,0,0,535,486,440,369,356,299
,Kansas,20,200,Barber County,7,70,Sun City township,69300,Sun City Township,SUN CITY TOWNSHIP,Sun City township,Sun City township,Sun City township,Sun City township,174,131,127,100,68,42,0,0,0,0,0,0,174,131,127,100,68,42
,Kansas,20,200,Barber County,7,70,Turkey Creek township,71675,Turkey Creek Township,TURKEY CREEK TOWNSHIP,Turkey Creek township,Turkey Creek township,Turkey Creek township,Turkey Creek township,44,45,35,37,26,21,0,0,0,0,0,0,44,45,35,37,26,21
,Kansas,20,200,Barber County,7,70,Valley township,72750,Valley Township,VALLEY TOWNSHIP,Valley township,Valley township,Valley township,Valley township,233,231,198,183,147,131,0,0,0,0,0,0,233,231,198,183,147,131
,Kansas,20,200,Barton County,9,90,Albion township,850,Albion Township,ALBION TOWNSHIP,Albion township,Albion township,Albion township,Albion township,112,90,61,58,63,60,0,0,0,0,0,0,112,90,61,58,63,60
,Kansas,20,200,Barton County,9,90,Beaver township,4975,Beaver Township,BEAVER TOWNSHIP,Beaver township,Beaver township,Beaver township,Beaver township,249,185,122,108,99,98,0,0,0,0,0,0,249,185,122,108,99,98
,Kansas,20,200,Barton County,9,90,Buffalo township,9075,Buffalo Township,BUFFALO TOWNSHIP,Buffalo township,Buffalo township,Buffalo township,Buffalo township,420,529,587,490,417,431,0,0,0,95,0,0,420,529,587,395,417,431
,Kansas,20,200,Barton County,9,90,Cheyenne township,13025,Cheyenne Township,CHEYENNE TOWNSHIP,Cheyenne township,Cheyenne township,Cheyenne township,Cheyenne township,430,316,281,238,207,200,0,0,0,0,0,0,430,316,281,238,207,200
,Kansas,20,200,Barton County,9,90,Clarence township,13475,Clarence Township,CLARENCE TOWNSHIP,Clarence township,Clarence township,Clarence township,Clarence township,159,163,145,125,117,133,0,0,0,0,0,0,159,163,145,125,117,133
,Kansas,20,200,Barton County,9,90,Cleveland township,14025,Cleveland Township,CLEVELAND TOWNSHIP,Cleveland township,Cleveland township,Cleveland township,Cleveland township,141,91,79,69,42,25,0,0,0,0,0,0,141,91,79,69,42,25
,Kansas,20,200,Barton County,9,90,Comanche township,15125,Comanche Township,COMANCHE TOWNSHIP,Comanche township,Comanche township,Comanche township,Comanche township,401,362,500,452,462,408,0,0,0,0,0,0,401,362,500,452,462,408
,Kansas,20,200,Barton County,9,90,Ellinwood city,20425,Ellinwood City,ELLINWOOD CITY,Ellinwood city,Ellinwood city,Ellinwood city,Ellinwood city,2416,2508,2329,2164,2131,2011,0,2508,0,0,0,0,2416,0,2329,2164,2131,2011
,Kansas,20,200,Barton County,9,90,Eureka township,21750,Eureka Township,EUREKA TOWNSHIP,Eureka township,Eureka township,Eureka township,Eureka township,151,147,149,116,82,70,0,0,0,0,0,0,151,147,149,116,82,70
,Kansas,20,200,Barton County,9,90,Fairview township,22400,Fairview Township,FAIRVIEW TOWNSHIP,Fairview township,Fairview township,Fairview township,Fairview township,187,156,125,129,89,110,0,0,0,0,0,0,187,156,125,129,89,110
,Kansas,20,200,Barton County,9,90,Grant township,27475,Grant Township,GRANT TOWNSHIP,Grant township,Grant township,Grant township,Grant township,142,119,80,79,55,50,0,0,0,0,0,0,142,119,80,79,55,50
